Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-08-26 00:00:00+09:00,567.5,568.34,565.93,568.24,349900,0.0,0.0
2014-08-27 00:00:00+09:00,570.33,570.74,565.27,567.23,358400,0.0,0.0
2014-08-28 00:00:00+09:00,569.53,570.45,569.13,570.24,342100,0.0,0.0
2014-08-29 00:00:00+09:00,570.52,571.44,568.46,570.2,403400,0.0,0.0
2014-09-01 00:00:00+09:00,572.8,572.85,566.94,566.95,395700,0.0,0.0
2014-09-02 00:00:00+09:00,567.48,568.9,565.64,568.74,341600,0.0,0.0
2014-09-03 00:00:00+09:00,570.13,572.41,569.59,571.4,398000,0.0,0.0
2014-09-04 00:00:00+09:00,573.5,573.81,568.33,568.9,381400,0.0,0.0
2014-09-05 00:00:00+09:00,569.99,572.61,568.5,572.37,350100,0.0,0.0
2014-09-11 00:00:00+09:00,574.89,575.65,573.64,573.7,339900,0.0,0.0
2014-09-12 00:00:00+09:00,575.46,575.82,567.71,570.65,331300,0.0,0.0
2014-09-15 00:00:00+09:00,571.64,571.64,565.76,565.77,335400,0.0,0.0
2014-09-16 00:00:00+09:00,567.06,572.38,567.06,572.36,322800,0.0,0.0
2014-09-17 00:00:00+09:00,574.99,575.56,573.1,574.98,356800,0.0,0.0
2014-09-18 00:00:00+09:00,577.65,578.4,576.97,576.97,391500,0.0,0.0
2014-09-19 00:00:00+09:00,580.1,581.41,578.67,581.38,373900,0.0,0.0
2014-09-22 00:00:00+09:00,583.44,583.45,577.35,577.35,385300,0.0,0.0
2014-09-23 00:00:00+09:00,577.67,578.75,571.61,575.56,370400,0.0,0.0
2014-09-24 00:00:00+09:00,576.61,580.51,574.99,580.42,370000,0.0,0.0
2014-09-25 00:00:00+09:00,583.58,583.66,577.44,577.48,433500,0.0,0.0
2014-09-26 00:00:00+09:00,573.91,577.76,573.11,577.66,397800,0.0,0.0
2014-09-29 00:00:00+09:00,580.3,580.43,566.61,569.27,409400,0.0,0.0
2014-09-30 00:00:00+09:00,571.63,573.54,567.3,573.22,387200,0.0,0.0
2014-10-01 00:00:00+09:00,575.02,575.35,564.32,566.99,388400,0.0,0.0
2014-10-02 00:00:00+09:00,564.02,570.01,562.1,569.84,332300,0.0,0.0
2014-10-06 00:00:00+09:00,573.82,573.93,566.27,566.27,357700,0.0,0.0
2014-10-07 00:00:00+09:00,567.7,568.33,561.33,562.82,334800,0.0,0.0
2014-10-08 00:00:00+09:00,560.4,567.19,560.4,566.74,305600,0.0,0.0
2014-10-10 00:00:00+09:00,565.07,565.26,553.87,555.95,357200,0.0,0.0
2014-10-13 00:00:00+09:00,551.47,551.47,531.46,534.31,432200,0.0,0.0
2014-10-14 00:00:00+09:00,531.94,544.53,531.94,544.05,373000,0.0,0.0
2014-10-15 00:00:00+09:00,546.95,549.6,542.49,545.51,395000,0.0,0.0
2014-10-16 00:00:00+09:00,542.08,546.95,534.54,545.49,382100,0.0,0.0
2014-10-17 00:00:00+09:00,549.7,553.57,543.64,547.7,395400,0.0,0.0
2014-10-20 00:00:00+09:00,553.63,556.66,551.56,556.01,373900,0.0,0.0
2014-10-21 00:00:00+09:00,558.64,559.27,555.16,557.54,417500,0.0,0.0
2014-10-22 00:00:00+09:00,563.81,564.76,561.06,564.52,384800,0.0,0.0
2014-10-23 00:00:00+09:00,565.69,568.63,561.3,564.31,375700,0.0,0.0
2014-10-24 00:00:00+09:00,568.33,568.33,560.49,560.66,387000,0.0,0.0
2014-10-27 00:00:00+09:00,562.93,563.26,558.29,559.92,356400,0.0,0.0
2014-10-28 00:00:00+09:00,561.91,562.71,560.69,562.29,363000,0.0,0.0
2014-10-29 00:00:00+09:00,566.03,566.18,560.93,561.03,392300,0.0,0.0
2014-10-30 00:00:00+09:00,561.97,562.36,553.64,557.86,394600,0.0,0.0
2014-10-31 00:00:00+09:00,559.85,559.85,557.0,558.7,340900,0.0,0.0
2014-11-03 00:00:00+09:00,559.71,559.9,552.34,552.47,369100,0.0,0.0
2014-11-04 00:00:00+09:00,554.63,556.02,540.36,542.16,410400,0.0,0.0
2014-11-05 00:00:00+09:00,541.72,545.3,540.09,540.27,357500,0.0,0.0
2014-11-06 00:00:00+09:00,541.57,542.7,530.42,531.81,347400,0.0,0.0
2014-11-07 00:00:00+09:00,532.87,539.91,532.24,539.9,341500,0.0,0.0
2014-11-10 00:00:00+09:00,542.52,543.16,538.77,539.22,360100,0.0,0.0
2014-11-11 00:00:00+09:00,541.62,545.14,541.23,545.13,368600,0.0,0.0
2014-11-12 00:00:00+09:00,547.98,547.98,546.16,546.46,393800,0.0,0.0
2014-11-13 00:00:00+09:00,547.95,548.55,547.07,547.7,362100,0.0,0.0
2014-11-14 00:00:00+09:00,549.0,549.0,541.87,541.93,381100,0.0,0.0
2014-11-17 00:00:00+09:00,543.28,543.35,531.16,531.18,343500,0.0,0.0
2014-11-18 00:00:00+09:00,532.42,536.22,532.42,536.2,344700,0.0,0.0
